,word1_id,word2_id,count
349,39733,28840,5
350,39733,7789,2
351,39733,13,2
352,28840,31176,10
353,28840,23000,10
354,28840,26005,6
355,31176,906,32
356,31176,7297,18
357,31176,44739,15
358,44891,28840,2
359,44891,15698,1
360,44891,31176,1
361,47678,24544,26
362,47678,36195,26
363,47678,27026,3
364,7097,28819,94
365,7097,4770,21
366,7097,27355,21
367,29348,5894,2
368,29348,27026,2
369,29348,13580,2
370,44338,29348,1
371,44338,5894,1
372,44338,27026,1
373,5894,29348,2
374,5894,27026,2
375,5894,18235,2
376,28673,36195,70
377,28673,27026,62
378,28673,906,55
379,2751,906,455
380,2751,27026,34
381,2751,17847,30
382,27026,7612,54
383,27026,906,14
384,27026,1105,13
385,4460,33850,2
386,4460,41081,2
387,4460,652,2
388,44071,906,21
389,44071,21996,11
390,44071,18131,7
391,27314,906,76
392,27314,20775,69
393,27314,32412,36
394,10937,906,17
395,10937,9199,15
396,10937,32839,9
397,44163,18814,8
398,44163,25478,7
399,44163,47577,4
400,45944,28187,3
401,45944,5608,3
402,45944,32839,3
403,3411,245,1
404,3411,46519,1
405,3411,906,1
406,245,3411,1
407,245,46519,1
408,245,906,1
409,46519,32692,48
410,46519,23668,12
411,46519,906,10
412,30285,906,28
413,30285,8270,18
414,30285,37,10
415,47911,906,357
416,47911,2660,213
417,47911,32839,152
418,20303,906,112
419,20303,32839,36
420,20303,9199,33
421,3263,290,12
422,3263,31943,12
423,3263,906,8
424,23461,3496,4
425,23461,44398,2
426,23461,37891,2
427,32331,13900,2
428,32331,31646,2
429,32331,21341,2
430,38405,38008,2
431,38405,28819,2
432,45853,33353,9
433,45853,906,8
434,45853,4282,8
435,25403,43556,10
436,25403,28819,7
437,25403,29975,6
438,24253,34691,3
439,24253,38008,2
440,24253,28819,2
441,28819,906,28
442,28819,721,20
443,28819,30162,16
444,29721,906,18
445,29721,1814,10
446,29721,28819,8
447,24296,32839,22
448,24296,32412,19
449,24296,906,17
450,2660,19082,35
451,2660,906,15
452,2660,9906,12
453,24793,39049,6
454,24793,29972,4
455,24793,45958,3
456,35240,24601,3
457,35240,906,2
458,35240,30193,2
459,31780,906,10
460,31780,29972,6
461,31780,36588,5
462,26913,906,10
463,26913,5854,10
464,26913,28819,8
465,10202,2660,1
466,10202,31780,1
467,11801,34566,4
468,11801,34409,4
469,11801,18851,4
470,21289,18426,2
471,21289,6584,2
472,21289,9713,2
473,15433,43412,2
474,15433,4929,2
475,15433,36291,1
476,14616,906,218
477,14616,30629,72
478,14616,46583,70
479,39074,906,23
480,39074,32839,21
481,39074,9199,12
482,16025,906,42
483,16025,31176,24
484,16025,36588,17
485,36722,906,107
486,36722,721,94
487,36722,32839,61
488,41001,906,92
489,41001,32412,43
490,41001,11820,35
491,14417,906,11
492,14417,10867,6
493,14417,5854,6
494,20555,46622,24
495,20555,1607,21
496,20555,906,19
497,18726,15077,6
498,18726,29972,4
499,18726,26005,4
500,40272,317,3
501,40272,44693,3
502,40272,43441,3
503,9698,35718,3
504,9698,37624,1
505,9698,32412,1
506,35718,46519,1
507,35718,24258,1
508,35718,37624,1
509,7159,46715,2
510,7159,26101,2
511,7159,2200,1
512,46715,26101,3
513,46715,2200,1
514,46715,38379,1
515,24252,22570,5
516,24252,46715,2
517,24252,26101,2
518,2200,46715,1
519,2200,26101,1
520,2200,7998,1
521,26101,46715,3
522,26101,2200,1
523,26101,38379,1
524,32409,5308,2
525,32409,30346,1
526,32409,906,1
527,27605,25567,1
528,27605,39216,1
529,27605,14619,1
530,21475,721,4
531,21475,343,3
532,21475,31176,3
533,46341,906,5
534,46341,7180,4
535,46341,3263,3
536,45703,557,2
537,45703,40175,2
538,45703,42861,1
